,CRACK_SPREAD_321
1996-01-18,57.006000000000014
1996-01-19,57.756
1996-01-22,58.22400000000002
1996-01-23,57.57600000000002
1996-01-24,56.34000000000002
1996-01-25,58.044000000000025
1996-01-26,59.31000000000001
1996-01-29,60.066
1996-01-30,59.106
1996-01-31,59.868
1996-02-01,60.510000000000005
1996-02-02,60.66600000000001
1996-02-05,60.978
1996-02-06,60.26400000000001
1996-02-07,60.522
1996-02-08,60.534
1996-02-09,60.792
1996-02-12,60.37799999999999
1996-02-13,59.41799999999999
1996-02-14,60.89399999999999
1996-02-15,59.573999999999984
1996-02-16,59.195999999999984
1996-02-19,59.616
1996-02-20,53.55
1996-02-21,52.92
1996-02-22,52.44000000000001
1996-02-23,55.74000000000001
1996-02-26,62.988
1996-02-27,62.64000000000001
1996-02-28,60.666
1996-02-29,60.468
1996-03-01,59.754000000000005
1996-03-04,60.804
1996-03-05,59.49
1996-03-06,58.38
1996-03-07,59.41799999999999
1996-03-08,60.594
1996-03-11,60.57000000000001
1996-03-12,58.31400000000001
1996-03-13,57.22200000000001
1996-03-14,55.27800000000001
1996-03-15,56.292000000000016
1996-03-18,54.756
1996-03-19,53.16000000000001
1996-03-20,59.03999999999999
1996-03-21,56.99999999999999
1996-03-22,55.97999999999999
1996-03-25,56.05799999999999
1996-03-26,59.82599999999999
1996-03-27,61.62599999999999
1996-03-28,60.978
1996-03-29,60.03
1996-04-01,59.13
1996-04-02,59.178
1996-04-03,59.71799999999999
1996-04-04,59.934
1996-04-05,59.934
1996-04-08,61.84200000000001
1996-04-09,62.06400000000002
1996-04-10,61.11000000000003
1996-04-11,58.53000000000003
1996-04-12,60.396000000000015
1996-04-15,60.774000000000015
1996-04-16,59.02800000000002
1996-04-17,56.778000000000006
1996-04-18,58.95000000000002
1996-04-19,56.76600000000002
1996-04-22,57.288
1996-04-23,56.526
1996-04-24,57.906000000000006
1996-04-25,57.40199999999999
1996-04-26,63.504000000000005
1996-04-29,66.804
1996-04-30,69.66
1996-05-01,69.45
1996-05-02,69.20399999999998
1996-05-03,68.26799999999999
1996-05-06,68.658
1996-05-07,68.50199999999998
1996-05-08,68.27999999999999
1996-05-09,69.762
1996-05-10,68.80799999999999
1996-05-13,68.48400000000001
1996-05-14,66.35999999999999
1996-05-15,66.48599999999999
1996-05-16,66.35999999999999
1996-05-17,66.76799999999999
1996-05-20,63.23399999999998
1996-05-21,63.38399999999999
1996-05-22,60.636
1996-05-23,62.351999999999975
1996-05-24,64.704
1996-05-27,63.94800000000002
1996-05-28,65.304
1996-05-29,66.52800000000002
1996-05-30,67.83000000000001
1996-05-31,67.782
1996-06-01,67.782
1996-06-03,67.05000000000001
1996-06-04,65.79
1996-06-05,67.23
1996-06-06,66.28200000000001
1996-06-07,65.916
1996-06-10,65.62800000000001
1996-06-11,65.652
1996-06-12,65.652
1996-06-13,65.91
1996-06-14,65.49600000000001
1996-06-17,62.29800000000003
1996-06-18,61.620000000000005
1996-06-19,63.432000000000016
1996-06-20,63.75000000000002
1996-06-21,64.56600000000002
1996-06-24,64.398
1996-06-25,64.30799999999999
1996-06-26,63.27
1996-06-27,62.76599999999999
1996-06-28,63.07199999999999
1996-07-01,60.97200000000001
1996-07-02,61.92
1996-07-03,61.146
1996-07-04,61.146
1996-07-05,60.33600000000001
1996-07-08,61.170000000000016
1996-07-09,60.72600000000001
1996-07-10,60.73200000000001
1996-07-11,59.994000000000014
1996-07-12,60.13200000000002
1996-07-15,58.962
1996-07-16,59.07599999999999
1996-07-17,60.67200000000001
1996-07-18,60.70800000000001
1996-07-19,62.56200000000001
1996-07-22,62.22
1996-07-23,60.67200000000001
1996-07-24,62.50200000000001
1996-07-25,62.388000000000005
1996-07-26,64.644
1996-07-29,63.73200000000001
1996-07-30,63.94200000000001
1996-07-31,64.03200000000001
1996-08-01,62.89800000000001
1996-08-02,62.328
1996-08-05,61.662000000000006
1996-08-06,61.79400000000001
1996-08-07,61.11
1996-08-08,61.06200000000001
1996-08-09,60.48599999999999
1996-08-12,58.662000000000006
1996-08-13,58.57199999999999
1996-08-14,59.48999999999998
1996-08-15,59.56200000000001
1996-08-16,58.451999999999984
1996-08-19,57.666
1996-08-20,58.74600000000001
1996-08-21,59.84400000000002
1996-08-22,59.48400000000001
1996-08-23,60.024000000000015
1996-08-26,61.812
1996-08-27,62.41199999999999
1996-08-28,61.212
1996-08-29,60.912000000000006
1996-08-30,60.426
1996-09-01,60.426
1996-09-02,59.754000000000005
1996-09-03,57.41999999999999
1996-09-04,57.30000000000001
1996-09-05,57.078
1996-09-06,56.42399999999999
1996-09-09,57.22800000000001
1996-09-10,56.322
1996-09-11,55.23599999999999
1996-09-12,54.97200000000001
1996-09-13,55.90199999999999
1996-09-16,58.578
1996-09-17,58.404000000000025
1996-09-18,58.566
1996-09-19,58.67400000000001
1996-09-20,58.518
1996-09-23,57.87000000000002
1996-09-24,56.63399999999999
1996-09-25,57.28199999999998
1996-09-26,58.638000000000005
1996-09-27,57.28199999999998
1996-09-30,58.10400000000001
1996-10-01,57.654
1996-10-02,59.05799999999999
1996-10-03,57.75
1996-10-04,57.882000000000005
1996-10-07,56.50800000000001
1996-10-08,55.69800000000001
1996-10-09,56.04000000000002
1996-10-10,56.88
1996-10-11,56.04000000000002
1996-10-14,55.59
1996-10-15,55.32000000000002
1996-10-16,55.74000000000001
1996-10-17,55.176000000000016
1996-10-18,54.69
1996-10-21,54.53999999999999
1996-10-22,54.636
1996-10-23,56.61599999999999
1996-10-24,57.138000000000005
1996-10-25,56.85
1996-10-28,57.882000000000005
1996-10-29,59.01000000000002
1996-10-30,57.672000000000025
1996-10-31,60.28200000000001
1996-11-01,61.03200000000001
1996-11-04,62.094
1996-11-05,62.334
1996-11-06,62.45400000000001
1996-11-07,62.43000000000001
1996-11-08,60.95400000000001
1996-11-11,61.829999999999984
1996-11-12,61.51200000000003
1996-11-13,60.26400000000001
1996-11-14,60.97199999999998
1996-11-15,61.23600000000002
1996-11-18,62.59799999999999
1996-11-19,61.404
1996-11-20,62.94
1996-11-21,63.162000000000006
1996-11-22,61.95000000000002
1996-11-25,57.612
1996-11-26,63.426000000000016
1996-11-27,63.72
1996-11-28,63.72
1996-11-29,63.72
1996-12-01,63.72
1996-12-02,61.26600000000002
1996-12-03,61.13399999999999
1996-12-04,60.28200000000001
1996-12-05,59.112
1996-12-06,58.98599999999999
1996-12-09,59.160000000000025
1996-12-10,60.726
1996-12-11,62.10000000000002
1996-12-12,61.84800000000001
1996-12-13,61.00800000000001
1996-12-16,57.846
1996-12-17,57.30000000000001
1996-12-18,56.54400000000001
1996-12-19,54.96000000000001
1996-12-20,55.84799999999999
1996-12-23,53.68800000000002
1996-12-24,57.864
1996-12-26,57.126000000000005
1996-12-27,56.99400000000003
1996-12-30,56.292
1996-12-31,55.650000000000006
1997-01-01,55.650000000000006
1997-01-02,56.65799999999999
1997-01-03,56.28
1997-01-06,54.81
1997-01-07,54.34800000000001
1997-01-08,53.78399999999999
1997-01-09,54.49199999999999
1997-01-10,54.56400000000002
1997-01-13,57.54000000000002
1997-01-14,57.588
1997-01-15,55.920000000000016
1997-01-16,56.79000000000002
1997-01-17,56.35200000000003
1997-01-20,56.70599999999999
1997-01-21,57.018
1997-01-22,58.76400000000001
1997-01-23,60.077999999999975
1997-01-24,60.24599999999998
1997-01-27,60.16199999999998
1997-01-28,59.76000000000002
1997-01-29,58.88399999999999
1997-01-30,58.65599999999998
1997-01-31,59.89200000000002
1997-02-01,59.89200000000002
1997-02-03,59.154
1997-02-04,59.124
1997-02-05,59.00400000000002
1997-02-06,60.714
1997-02-07,62.585999999999984
1997-02-10,62.43000000000001
1997-02-11,62.81399999999999
1997-02-12,64.572
1997-02-13,63.018
1997-02-14,62.41200000000004
1997-02-17,61.82400000000001
1997-02-18,60.894000000000005
1997-02-19,59.81400000000002
1997-02-20,61.07400000000001
1997-02-21,62.082
1997-02-24,62.622000000000014
1997-02-25,63.44400000000002
1997-02-26,62.826
1997-02-27,63.474
1997-02-28,64.38600000000001
1997-03-01,64.38600000000001
1997-03-03,63.318
1997-03-04,61.64999999999999
1997-03-05,61.97999999999999
1997-03-06,60.89999999999999
1997-03-07,60.101999999999975
1997-03-10,61.43400000000001
1997-03-11,62.35800000000001
1997-03-12,61.470000000000006
1997-03-13,61.53000000000002
1997-03-14,60.042
1997-03-17,60.27600000000002
1997-03-18,57.64800000000001
1997-03-19,57.69000000000001
1997-03-20,57.48000000000002
1997-03-21,58.422000000000025
1997-03-24,60.816
1997-03-25,61.428
1997-03-26,61.74
1997-03-27,61.884000000000015
1997-03-28,61.884000000000015
1997-03-31,62.64000000000001
1997-04-01,62.58000000000001
1997-04-02,64.242
1997-04-03,64.75200000000002
1997-04-04,66.03000000000003
1997-04-07,66.066
1997-04-08,65.51400000000001
1997-04-09,65.982
1997-04-10,66.258
1997-04-11,65.946
1997-04-14,64.578
1997-04-15,65.51999999999998
1997-04-16,65.68199999999999
1997-04-17,65.526
1997-04-18,64.70400000000001
1997-04-21,63.606
1997-04-22,65.64599999999999
1997-04-23,65.958
1997-04-24,65.316
1997-04-25,64.87799999999999
1997-04-28,64.476
1997-04-29,63.87600000000001
1997-04-30,63.384000000000015
1997-05-01,64.20000000000002
1997-05-02,64.30199999999999
1997-05-05,63.882
1997-05-06,63.33000000000001
1997-05-07,63.33599999999999
1997-05-08,61.46399999999999
1997-05-09,60.99600000000001
1997-05-12,58.986
1997-05-13,59.80199999999999
1997-05-14,58.84199999999999
1997-05-15,59.03399999999999
1997-05-16,57.43199999999999
1997-05-19,60.114
1997-05-20,60.888000000000005
1997-05-21,59.646
1997-05-22,59.72999999999999
1997-05-23,60.65400000000001
1997-05-26,61.41
1997-05-27,61.98599999999999
1997-05-28,62.262
1997-05-29,61.12200000000001
1997-05-30,61.74
1997-06-01,61.74
1997-06-02,61.584
1997-06-03,63.228
1997-06-04,63.084
1997-06-05,64.24799999999999
1997-06-06,65.892
1997-06-09,65.62799999999999
1997-06-10,65.66999999999999
1997-06-11,65.75999999999999
1997-06-12,65.22
1997-06-13,65.328
1997-06-16,64.28999999999999
1997-06-17,63.900000000000006
1997-06-18,64.72200000000001
1997-06-19,65.08800000000001
1997-06-20,65.49600000000001
1997-06-23,64.00800000000001
1997-06-24,64.452
